periode_data,wilayah,nama_perpustakaan,uraian,satuan,jumlah
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,anggota,orang,46206
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,pengunjung,orang,"528,702"
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,koleksi buku,eksemplar,"19,001"
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,fasilitas sistem pengelolaan perpustakaan,sistem,1
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,perpustakaan berstandar internasional,gedung,0
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,perpustakaan berbasis teknologi,perpustakaan,1
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,komunitas perpustakaan,organisasi,0
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,taman bacaan masyarakat,sanggar,10
2024,KOTA ADM. JAKARTA PUSAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,pengguna jasa perpustakaan keliling,orang,"200,937"
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,anggota,orang,"33,112"
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,pengunjung,orang,"567,362"
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,koleksi buku,eksemplar,"156,912"
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,fasilitas sistem pengelolaan perpustakaan,sistem,1
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,perpustakaan berstandar internasional,gedung,0
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,perpustakaan berbasis teknologi,perpustakaan,1
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,komunitas perpustakaan,organisasi,3
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,taman bacaan masyarakat,sanggar,16
2024,KOTA ADM. JAKARTA UTARA,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,pengguna jasa perpustakaan keliling,orang,"144,991"
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,anggota,orang,"37,712"
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,pengunjung,orang,"650,048"
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,koleksi buku,eksemplar,"173,865"
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,fasilitas sistem pengelolaan perpustakaan,sistem,1
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,perpustakaan berstandar internasional,gedung,0
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,perpustakaan berbasis teknologi,perpustakaan,1
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,komunitas perpustakaan,organisasi,1
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,taman bacaan masyarakat,sanggar,12
2024,KOTA ADM. JAKARTA BARAT,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,pengguna jasa perpustakaan keliling,orang,"141,179"
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,anggota,orang,"51,569"
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,pengunjung,orang,"521,089"
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,koleksi buku,eksemplar,"19,101"
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,fasilitas sistem pengelolaan perpustakaan,sistem,1
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,perpustakaan berstandar internasional,gedung,0
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,perpustakaan berbasis teknologi,perpustakaan,0
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,komunitas perpustakaan,organisasi,6
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,taman bacaan masyarakat,sanggar,16
2024,KOTA ADM. JAKARTA SELATAN,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,pengguna jasa perpustakaan keliling,orang,"119,298"
2024,KOTA ADM. JAKARTA TIMUR,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,anggota,orang,"75,243"
2024,KOTA ADM. JAKARTA TIMUR,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,pengunjung,orang,"1,498,400"
2024,KOTA ADM. JAKARTA TIMUR,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,koleksi buku,eksemplar,"151,588"
2024,KOTA ADM. JAKARTA TIMUR,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,fasilitas sistem pengelolaan perpustakaan,sistem,1
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,anggota,orang,22435
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,pengunjung,orang,753018
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,koleksi buku,eksemplar,134875
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,fasilitas sistem pengelolaan perpustakaan,sistem,1
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,perpustakaan berstandar internasional,gedung,0
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,perpustakaan berbasis teknologi,perpustakaan,1
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,komunitas perpustakaan,organisasi,9
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,taman bacaan masyarakat,sanggar,22
2023,Jakarta Timur,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA TIMUR,pengguna jasa perpustakaan keliling,orang,101038
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,anggota,orang,9366
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,pengunjung,orang,218299
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,koleksi buku,eksemplar,157448
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,fasilitas sistem pengelolaan perpustakaan,sistem,0
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,perpustakaan berstandar internasional,gedung,0
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,perpustakaan berbasis teknologi,perpustakaan,1
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,komunitas perpustakaan,organisasi,2
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,taman bacaan masyarakat,sanggar,10
2023,Jakarta Pusat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA PUSAT,pengguna jasa perpustakaan keliling,orang,187950
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,anggota,orang,22754
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,pengunjung,orang,428589
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,koleksi buku,eksemplar,135912
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,fasilitas sistem pengelolaan perpustakaan,sistem,1
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,perpustakaan berstandar internasional,gedung,0
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,perpustakaan berbasis teknologi,perpustakaan,1
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,komunitas perpustakaan,organisasi,3
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,taman bacaan masyarakat,sanggar,16
2023,Jakarta Utara,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA UTARA,pengguna jasa perpustakaan keliling,orang,129361
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,anggota,orang,24836
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,pengunjung,orang,568503
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,koleksi buku,eksemplar,154865
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,fasilitas sistem pengelolaan perpustakaan,sistem,1
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,perpustakaan berstandar internasional,gedung,0
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,perpustakaan berbasis teknologi,perpustakaan,1
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,komunitas perpustakaan,organisasi,1
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,taman bacaan masyarakat,sanggar,10
2023,Jakarta Barat,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA BARAT,pengguna jasa perpustakaan keliling,orang,309808
2023,Jakarta Selatan,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,anggota,orang,15323
2023,Jakarta Selatan,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,pengunjung,orang,173897
2023,Jakarta Selatan,SUKU DINAS PERPUSTAKAAN DAN KEARSIPAN JAKARTA SELATAN,koleksi buku,eksemplar,193578
